LineNumber,PlatformNumber,Direction
10,3031,1
10,3051,1
10,3131,1
10,3151,1
10,3161,1
10,3201,1
10,3411,1
10,3421,1
10,3431,1
10,3441,1
10,3451,1
10,3461,1
10,3464,1
10,3471,1
10,3481,1
10,3482,1
10,3031,2
10,3032,2
10,3052,2
10,3132,2
10,3152,2
10,3162,2
10,3204,2
10,3412,2
10,3422,2
10,3432,2
10,3442,2
10,3452,2
10,3462,2
10,3472,2
10,3482,2
11,3032,1
11,3051,1
11,3131,1
11,3151,1
11,3161,1
11,3201,1
11,3211,1
11,3221,1
11,3231,1
11,3234,1
11,3241,1
11,3251,1
11,3261,1
11,3271,1
11,3272,1
11,3031,2
11,3032,2
11,3052,2
11,3132,2
11,3152,2
11,3162,2
11,3202,2
11,3212,2
11,3222,2
11,3232,2
11,3242,2
11,3252,2
11,3262,2
11,3272,2
13,1051,1
13,2011,1
13,2021,1
13,2101,1
13,2111,1
13,2121,1
13,2131,1
13,2132,1
13,2511,1
13,2521,1
13,2531,1
13,2601,1
13,2603,1
13,2611,1
13,2621,1
13,2631,1
13,2641,1
13,2651,1
13,2701,1
13,2704,1
13,2711,1
13,2721,1
13,2731,1
13,2741,1
13,2751,1
13,2761,1
13,2763,1
13,2771,1
13,2781,1
13,2012,2
13,2022,2
13,2052,2
13,2102,2
13,2112,2
13,2122,2
13,2132,2
13,2212,2
13,2222,2
13,2232,2
13,2242,2
13,2252,2
13,2302,2
13,2512,2
13,2522,2
13,2532,2
13,2604,2
13,2605,2
13,2612,2
13,2622,2
13,2632,2
13,2642,2
13,2652,2
13,2702,2
13,2703,2
13,2712,2
13,2722,2
13,2732,2
13,2742,2
13,2752,2
13,2762,2
13,2763,2
13,2772,2
13,2781,2
13,2782,2
14,1051,1
14,2011,1
14,2021,1
14,2101,1
14,2211,1
14,2221,1
14,2231,1
14,2241,1
14,2251,1
14,2301,1
14,2302,1
14,2511,1
14,2521,1
14,2531,1
14,2601,1
14,2603,1
14,2611,1
14,2621,1
14,2631,1
14,2641,1
14,2651,1
14,2701,1
14,2711,1
14,2721,1
14,2731,1
14,2741,1
14,2751,1
14,2761,1
14,2771,1
14,2781,1
14,2811,1
14,2821,1
14,2831,1
14,2841,1
14,2851,1
14,2012,2
14,2022,2
14,2052,2
14,2102,2
14,2212,2
14,2222,2
