Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Behörighet till gymnasieskolan, fr.o.m. 2011
Valt läsår: 2016/17

Inför nya gymnasieskolan 2011 skärptes kraven för behörighet att söka till gymnasiet. Det innebär för att en elev ska vara behörig till
gymnasieskolans nationella program krävs 8 godkända betyg för yrkesprogram och 12 godkända betyg för högskoleförberedande program.
Det finns dessutom 3 olika behörighetskrav beroende på vilket högskoleförberedande program.

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Kön;Antal elever;Andel elever (%) behöriga till yrkesprogram;Andel elever (%) behöriga till estetiskt program;Andel elever (%) behöriga till Ekonomi-, humanistiska och samhällsvetenskaps- program;Andel elever (%) behöriga till Naturvetenskapligt och tekniskt program;Andel elever (%) ej behöriga;
Ale;1440;Västra Götalands län;14;Samtliga;Samtliga;301;80,7;79,1;76,1;75,4;19,3;
Ale;1440;Västra Götalands län;14;Kommunal;Samtliga;278;79,1;77,3;74,1;73,7;20,9;
Ale;1440;Västra Götalands län;14;Enskild;Samtliga;23;100,0;100,0;100,0;~100;.;
Alingsås;1489;Västra Götalands län;14;Samtliga;Samtliga;467;86,5;85,2;83,9;82,2;13,5;
Alingsås;1489;Västra Götalands län;14;Kommunal;Samtliga;359;82,7;81,3;79,9;79,4;17,3;
Alingsås;1489;Västra Götalands län;14;Enskild;Samtliga;108;~100;~100;~100;91,7;..;
Alvesta;0764;Kronobergs län;07;Samtliga;Samtliga;243;70,4;68,7;65,8;66,7;29,6;
Alvesta;0764;Kronobergs län;07;Kommunal;Samtliga;243;70,4;68,7;65,8;66,7;29,6;
Aneby;0604;Jönköpings län;06;Samtliga;Samtliga;75;73,3;73,3;73,3;72,0;26,7;
Aneby;0604;Jönköpings län;06;Kommunal;Samtliga;75;73,3;73,3;73,3;72,0;26,7;
Arboga;1984;Västmanlands län;19;Samtliga;Samtliga;151;86,1;84,8;83,4;79,5;13,9;
Arboga;1984;Västmanlands län;19;Kommunal;Samtliga;151;86,1;84,8;83,4;79,5;13,9;
Arjeplog;2506;Norrbottens län;25;Samtliga;Samtliga;21;76,2;76,2;76,2;76,2;..;
Arjeplog;2506;Norrbottens län;25;Kommunal;Samtliga;21;76,2;76,2;76,2;76,2;..;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;Samtliga;61;73,8;73,8;72,1;60,7;26,2;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;Samtliga;61;73,8;73,8;72,1;60,7;26,2;
Arvika;1784;Värmlands län;17;Samtliga;Samtliga;278;82,0;80,9;80,9;75,9;18,0;
Arvika;1784;Värmlands län;17;Kommunal;Samtliga;246;79,7;78,5;78,5;72,8;20,3;
Arvika;1784;Värmlands län;17;Enskild;Samtliga;32;100,0;100,0;100,0;100,0;.;
Askersund;1882;Örebro län;18;Samtliga;Samtliga;107;86,9;84,1;83,2;81,3;13,1;
Askersund;1882;Örebro län;18;Kommunal;Samtliga;107;86,9;84,1;83,2;81,3;13,1;
Avesta;2084;Dalarnas län;20;Samtliga;Samtliga;249;69,5;68,7;66,3;62,2;30,5;
Avesta;2084;Dalarnas län;20;Kommunal;Samtliga;249;69,5;68,7;66,3;62,2;30,5;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;Samtliga;81;67,9;67,9;67,9;63,0;32,1;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;Samtliga;81;67,9;67,9;67,9;63,0;32,1;
Berg;2326;Jämtlands län;23;Samtliga;Samtliga;83;61,4;60,2;60,2;56,6;38,6;
Berg;2326;Jämtlands län;23;Kommunal;Samtliga;83;61,4;60,2;60,2;56,6;38,6;
Bjurholm;2403;Västerbottens län;24;Samtliga;Samtliga;28;~100;~100;~100;82,1;..;
Bjurholm;2403;Västerbottens län;24;Kommunal;Samtliga;28;~100;~100;~100;82,1;..;
Bjuv;1260;Skåne län;12;Samtliga;Samtliga;186;82,3;81,2;77,4;78,5;17,7;
Bjuv;1260;Skåne län;12;Kommunal;Samtliga;186;82,3;81,2;77,4;78,5;17,7;
Boden;2582;Norrbottens län;25;Samtliga;Samtliga;314;79,9;79,6;79,0;75,2;20,1;
Boden;2582;Norrbottens län;25;Kommunal;Samtliga;242;75,6;75,2;74,4;70,7;24,4;
Boden;2582;Norrbottens län;25;Enskild;Samtliga;72;~100;~100;~100;90,3;..;
Bollebygd;1443;Västra Götalands län;14;Samtliga;Samtliga;114;93,0;93,0;91,2;90,4;..;
Bollebygd;1443;Västra Götalands län;14;Kommunal;Samtliga;114;93,0;93,0;91,2;90,4;..;
Bollnäs;2183;Gävleborgs län;21;Samtliga;Samtliga;295;76,3;75,6;74,9;74,9;23,7;
Bollnäs;2183;Gävleborgs län;21;Kommunal;Samtliga;145;58,6;57,2;55,9;56,6;41,4;
Bollnäs;2183;Gävleborgs län;21;Enskild;Samtliga;150;93,3;93,3;93,3;92,7;6,7;
Borgholm;0885;Kalmar län;08;Samtliga;Samtliga;111;88,3;88,3;87,4;85,6;11,7;
Borgholm;0885;Kalmar län;08;Kommunal;Samtliga;111;88,3;88,3;87,4;85,6;11,7;
Borlänge;2081;Dalarnas län;20;Samtliga;Samtliga;647;75,6;74,5;71,1;71,9;24,4;
Borlänge;2081;Dalarnas län;20;Kommunal;Samtliga;565;74,0;72,9;69,6;70,6;26,0;
Borlänge;2081;Dalarnas län;20;Enskild;Samtliga;82;86,6;85,4;81,7;80,5;13,4;
Borås;1490;Västra Götalands län;14;Samtliga;Samtliga;1 216;81,9;80,8;79,5;78,8;18,1;
Borås;1490;Västra Götalands län;14;Kommunal;Samtliga;991;78,5;77,2;75,7;75,0;21,5;
Borås;1490;Västra Götalands län;14;Enskild;Samtliga;225;96,9;96,4;96,4;95,6;..;
Botkyrka;0127;Stockholms län;01;Samtliga;Samtliga;941;81,5;80,3;77,3;77,3;18,5;
Botkyrka;0127;Stockholms län;01;Kommunal;Samtliga;801;81,0;79,9;76,8;76,5;19,0;
Botkyrka;0127;Stockholms län;01;Enskild;Samtliga;140;84,3;82,9;80,0;81,4;15,7;
Boxholm;0560;Östergötlands län;05;Samtliga;Samtliga;66;78,8;77,3;77,3;75,8;21,2;
Boxholm;0560;Östergötlands län;05;Kommunal;Samtliga;66;78,8;77,3;77,3;75,8;21,2;
Bromölla;1272;Skåne län;12;Samtliga;Samtliga;126;74,6;73,8;69,0;69,8;25,4;
Bromölla;1272;Skåne län;12;Kommunal;Samtliga;126;74,6;73,8;69,0;69,8;25,4;
Bräcke;2305;Jämtlands län;23;Samtliga;Samtliga;98;65,3;65,3;64,3;60,2;34,7;
Bräcke;2305;Jämtlands län;23;Kommunal;Samtliga;98;65,3;65,3;64,3;60,2;34,7;
Burlöv;1231;Skåne län;12;Samtliga;Samtliga;180;78,9;78,9;74,4;77,8;21,1;
Burlöv;1231;Skåne län;12;Kommunal;Samtliga;180;78,9;78,9;74,4;77,8;21,1;
Båstad;1278;Skåne län;12;Samtliga;Samtliga;128;87,5;85,9;81,3;84,4;12,5;
Båstad;1278;Skåne län;12;Kommunal;Samtliga;128;87,5;85,9;81,3;84,4;12,5;
Dals-Ed;1438;Västra Götalands län;14;Samtliga;Samtliga;50;78,0;78,0;72,0;72,0;22,0;
Dals-Ed;1438;Västra Götalands län;14;Kommunal;Samtliga;50;78,0;78,0;72,0;72,0;22,0;
Danderyd;0162;Stockholms län;01;Samtliga;Samtliga;517;96,1;95,9;95,6;95,4;3,9;
Danderyd;0162;Stockholms län;01;Kommunal;Samtliga;336;94,3;94,0;94,0;93,2;5,7;
Danderyd;0162;Stockholms län;01;Enskild;Samtliga;181;~100;~100;~100;~100;..;
Degerfors;1862;Örebro län;18;Samtliga;Samtliga;94;86,2;84,0;81,9;77,7;13,8;
Degerfors;1862;Örebro län;18;Kommunal;Samtliga;94;86,2;84,0;81,9;77,7;13,8;
Dorotea;2425;Västerbottens län;24;Samtliga;Samtliga;29;~100;~100;~100;~100;..;
Dorotea;2425;Västerbottens län;24;Kommunal;Samtliga;29;~100;~100;~100;~100;..;
Eda;1730;Värmlands län;17;Samtliga;Samtliga;80;90,0;88,8;88,8;83,8;..;
Eda;1730;Värmlands län;17;Kommunal;Samtliga;80;90,0;88,8;88,8;83,8;..;
Ekerö;0125;Stockholms län;01;Samtliga;Samtliga;343;92,1;91,5;90,7;91,0;7,9;
Ekerö;0125;Stockholms län;01;Kommunal;Samtliga;311;91,3;91,0;90,0;90,4;8,7;
Ekerö;0125;Stockholms län;01;Enskild;Samtliga;32;100,0;~100;~100;~100;.;
Eksjö;0686;Jönköpings län;06;Samtliga;Samtliga;226;78,8;77,9;76,5;77,0;21,2;
