region;kön;år;Totalsumma, mnkr;Antal personer
0114 Upplands Väsby;män;1991;2460.4;13894
0114 Upplands Väsby;män;1992;2461.6;13897
0114 Upplands Väsby;män;1993;2498.6;13856
0114 Upplands Väsby;män;1994;2565.8;13805
0114 Upplands Väsby;män;1995;2665.3;13959
0114 Upplands Väsby;män;1996;2800.1;14045
0114 Upplands Väsby;män;1997;2892.8;13998
0114 Upplands Väsby;män;1998;3073.4;14190
0114 Upplands Väsby;män;1999;3249.5;14387
0114 Upplands Väsby;män;2000;3478.3;14552
0114 Upplands Väsby;män;2001;3617.6;14551
0114 Upplands Väsby;män;2002;3686.6;14563
0114 Upplands Väsby;män;2003;3712.6;14523
0114 Upplands Väsby;män;2004;3750.9;14576
0114 Upplands Väsby;män;2005;3869.9;14650
0114 Upplands Väsby;män;2006;4002.8;14820
0114 Upplands Väsby;män;2007;4191.6;15028
0114 Upplands Väsby;män;2008;4386.8;15123
0114 Upplands Väsby;män;2009;4408.7;15291
0114 Upplands Väsby;män;2010;4535.1;15577
0114 Upplands Väsby;män;2011;4800.6;16002
0114 Upplands Väsby;män;2012;4977.8;16166
0114 Upplands Väsby;män;2013;5118.4;16468
0114 Upplands Väsby;män;2014;5286.1;16619
0114 Upplands Väsby;män;2015;5524.3;16917
0114 Upplands Väsby;män;2016;5828.2;17479
0114 Upplands Väsby;män;2017;6075.1;17698
0114 Upplands Väsby;män;2018;6342.3;18061
0114 Upplands Väsby;män;2019;6693.1;18601
0114 Upplands Väsby;kvinnor;1991;1686.4;14182
0114 Upplands Väsby;kvinnor;1992;1721.6;14188
0114 Upplands Väsby;kvinnor;1993;1774.7;14133
0114 Upplands Väsby;kvinnor;1994;1852.1;14218
0114 Upplands Väsby;kvinnor;1995;1930.3;14379
0114 Upplands Väsby;kvinnor;1996;2020.7;14482
0114 Upplands Väsby;kvinnor;1997;2092.8;14504
0114 Upplands Väsby;kvinnor;1998;2222.5;14723
0114 Upplands Väsby;kvinnor;1999;2366.9;14859
0114 Upplands Väsby;kvinnor;2000;2515.8;15088
0114 Upplands Väsby;kvinnor;2001;2655.6;15101
0114 Upplands Väsby;kvinnor;2002;2756.1;15105
0114 Upplands Väsby;kvinnor;2003;2842.7;15067
0114 Upplands Väsby;kvinnor;2004;2899.7;15161
0114 Upplands Väsby;kvinnor;2005;2977.6;15269
0114 Upplands Väsby;kvinnor;2006;3065.8;15365
0114 Upplands Väsby;kvinnor;2007;3181.0;15412
0114 Upplands Väsby;kvinnor;2008;3343.5;15562
0114 Upplands Väsby;kvinnor;2009;3457.5;15743
0114 Upplands Väsby;kvinnor;2010;3546.2;16047
0114 Upplands Väsby;kvinnor;2011;3710.5;16427
0114 Upplands Väsby;kvinnor;2012;3888.5;16657
0114 Upplands Väsby;kvinnor;2013;4037.5;16881
0114 Upplands Väsby;kvinnor;2014;4167.9;16990
0114 Upplands Väsby;kvinnor;2015;4329.2;17229
0114 Upplands Väsby;kvinnor;2016;4566.0;17624
0114 Upplands Väsby;kvinnor;2017;4733.7;17825
0114 Upplands Väsby;kvinnor;2018;4924.6;18186
0114 Upplands Väsby;kvinnor;2019;5170.7;18653
0115 Vallentuna;män;1991;1524.7;8462
0115 Vallentuna;män;1992;1540.4;8573
0115 Vallentuna;män;1993;1610.6;8655
0115 Vallentuna;män;1994;1693.3;8715
0115 Vallentuna;män;1995;1740.2;8755
0115 Vallentuna;män;1996;1818.5;8802
0115 Vallentuna;män;1997;1895.1;8840
0115 Vallentuna;män;1998;2015.9;8962
0115 Vallentuna;män;1999;2142.5;9105
0115 Vallentuna;män;2000;2364.9;9306
0115 Vallentuna;män;2001;2507.5;9494
0115 Vallentuna;män;2002;2597.2;9613
0115 Vallentuna;män;2003;2661.8;9771
