code,name,year,population
0114,Upplands Väsby,1968,16230
0114,Upplands Väsby,1969,17835
0114,Upplands Väsby,1970,19032
0114,Upplands Väsby,1971,20621
0114,Upplands Väsby,1972,22948
0114,Upplands Väsby,1973,25523
0114,Upplands Väsby,1974,27350
0114,Upplands Väsby,1975,28810
0114,Upplands Väsby,1976,30048
0114,Upplands Väsby,1977,30911
0114,Upplands Väsby,1978,31180
0114,Upplands Väsby,1979,31600
0114,Upplands Väsby,1980,31961
0114,Upplands Väsby,1981,32117
0114,Upplands Väsby,1982,32164
0114,Upplands Väsby,1983,32441
0114,Upplands Väsby,1984,33477
0114,Upplands Väsby,1985,33912
0114,Upplands Väsby,1986,34642
0114,Upplands Väsby,1987,35023
0114,Upplands Väsby,1988,35294
0114,Upplands Väsby,1989,35553
0114,Upplands Väsby,1990,35963
0114,Upplands Väsby,1991,35884
0114,Upplands Väsby,1992,35884
0114,Upplands Väsby,1993,35764
0114,Upplands Väsby,1994,35848
0114,Upplands Väsby,1995,36277
0114,Upplands Väsby,1996,36415
0114,Upplands Väsby,1997,36372
0114,Upplands Väsby,1998,36789
0114,Upplands Väsby,1999,37116
0114,Upplands Väsby,2000,37576
0114,Upplands Väsby,2001,37524
0114,Upplands Väsby,2002,37444
0114,Upplands Väsby,2003,37397
0114,Upplands Väsby,2004,37517
0114,Upplands Väsby,2005,37624
0114,Upplands Väsby,2006,37848
0114,Upplands Väsby,2007,38055
0114,Upplands Väsby,2008,38248
0114,Upplands Väsby,2009,38641
0114,Upplands Väsby,2010,39289
0114,Upplands Väsby,2011,40194
0114,Upplands Väsby,2012,40723
0114,Upplands Väsby,2013,41449
0114,Upplands Väsby,2014,41816
0114,Upplands Väsby,2015,42661
0114,Upplands Väsby,2016,43891
0114,Upplands Väsby,2017,44605
0114,Upplands Väsby,2018,45543
0114,Upplands Väsby,2019,46786
0114,Upplands Väsby,2020,47184
0115,Vallentuna,1968,11380
0115,Vallentuna,1969,12223
0115,Vallentuna,1970,12711
0115,Vallentuna,1971,13399
0115,Vallentuna,1972,13866
0115,Vallentuna,1973,14406
0115,Vallentuna,1974,14604
0115,Vallentuna,1975,14886
0115,Vallentuna,1976,15562
0115,Vallentuna,1977,16113
0115,Vallentuna,1978,16908
0115,Vallentuna,1979,17158
0115,Vallentuna,1980,17603
0115,Vallentuna,1981,18226
0115,Vallentuna,1982,18793
0115,Vallentuna,1983,18987
0115,Vallentuna,1984,19189
0115,Vallentuna,1985,19511
0115,Vallentuna,1986,19912
0115,Vallentuna,1987,20343
0115,Vallentuna,1988,20823
0115,Vallentuna,1989,21618
0115,Vallentuna,1990,22186
0115,Vallentuna,1991,22435
0115,Vallentuna,1992,22717
0115,Vallentuna,1993,23061
0115,Vallentuna,1994,23309
0115,Vallentuna,1995,23457
0115,Vallentuna,1996,23684
0115,Vallentuna,1997,23901
0115,Vallentuna,1998,24246
0115,Vallentuna,1999,24640
0115,Vallentuna,2000,25228
0115,Vallentuna,2001,25643
0115,Vallentuna,2002,25905
0115,Vallentuna,2003,26306
0115,Vallentuna,2004,26889
0115,Vallentuna,2005,27397
0115,Vallentuna,2006,27868
0115,Vallentuna,2007,28382
0115,Vallentuna,2008,28954
0115,Vallentuna,2009,29361
0115,Vallentuna,2010,30114
0115,Vallentuna,2011,30715
0115,Vallentuna,2012,31215
0115,Vallentuna,2013,31616
0115,Vallentuna,2014,31969
0115,Vallentuna,2015,32380
0115,Vallentuna,2016,32785
0115,Vallentuna,2017,33175
0115,Vallentuna,2018,33432
0115,Vallentuna,2019,34090
0115,Vallentuna,2020,34119
0117,Österåker,1968,13595
0117,Österåker,1969,14519
0117,Österåker,1970,15527
0117,Österåker,1971,16798
0117,Österåker,1972,18525
0117,Österåker,1973,19806
0117,Österåker,1974,21135
0117,Österåker,1975,22664
0117,Österåker,1976,23885
0117,Österåker,1977,24582
0117,Österåker,1978,25173
0117,Österåker,1979,25342
0117,Österåker,1980,25631
