"Antal personer efter region, utländsk/svensk bakgrund och år"

"region","utländsk/svensk bakgrund","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"0114 Upplands Väsby","utländsk bakgrund",10132,10327,10507,10708,10913,11167,11488,11839,12350,13115,13538,14191,14634,15506,16713,17533,18584,19867,20555
"0114 Upplands Väsby","svensk bakgrund",27312,27070,27010,26916,26935,26888,26760,26802,26939,27079,27185,27258,27182,27155,27178,27072,26959,26919,26629
"0115 Vallentuna","utländsk bakgrund",3458,3585,3686,3784,3871,4044,4170,4260,4433,4668,4915,5027,5157,5370,5680,6009,6235,6715,6756
"0115 Vallentuna","svensk bakgrund",22447,22721,23203,23613,23997,24338,24784,25101,25681,26047,26300,26589,26812,27010,27105,27166,27197,27375,27363
"0117 Österåker","utländsk bakgrund",5079,5132,5245,5325,5408,5543,5755,5969,6122,6349,6666,6806,7176,7709,8398,8916,9291,9638,10050
"0117 Österåker","svensk bakgrund",30554,31051,31622,32011,32471,32743,32965,33204,33399,33443,33603,33689,34004,34421,34895,35214,35540,35936,36594
"0120 Värmdö","utländsk bakgrund",4515,4504,4578,4620,4776,4997,5197,5324,5457,5636,5753,5889,6146,6319,6656,7305,7782,7991,8178
"0120 Värmdö","svensk bakgrund",28149,28630,29451,30313,31027,31873,32179,32432,32844,33258,33634,33895,34395,34788,35344,36139,36615,37009,37388
"0123 Järfälla","utländsk bakgrund",15550,15919,16229,16669,17421,18343,19314,20246,21233,22245,23166,24206,25717,27113,29080,31031,33365,35193,36985
"0123 Järfälla","svensk bakgrund",45740,45554,45335,45074,44921,45084,45041,45049,44978,45075,45044,44961,44984,45316,45332,45422,45115,44797,44289
"0125 Ekerö","utländsk bakgrund",2358,2393,2473,2530,2606,2746,2754,2864,3024,3156,3341,3439,3590,3703,3945,4192,4632,4948,5100
"0125 Ekerö","svensk bakgrund",20578,20918,21121,21480,21695,21941,22025,22231,22386,22611,22819,22916,23108,23281,23461,23561,23676,23742,23779
"0126 Huddinge","utländsk bakgrund",24319,25094,25558,26471,27862,29093,30778,32106,33432,34747,36155,37524,38782,40108,41827,43699,45460,46570,47168
"0126 Huddinge","svensk bakgrund",62138,62027,62123,62279,62320,62734,63431,63692,64021,64302,64855,65033,65403,65203,65711,66304,66262,66278,66066
"0127 Botkyrka","utländsk bakgrund",35384,35944,36534,37425,38528,40109,41158,42429,43952,45846,47525,48834,50109,50865,52307,53827,55233,57011,57651
"0127 Botkyrka","svensk bakgrund",39832,39488,39296,39167,39025,38922,38897,38766,38656,38831,38749,38746,38792,38560,38368,38098,37873,37595,37196
"0128 Salem","utländsk bakgrund",2468,2539,2578,2643,2768,2896,2979,3090,3194,3343,3465,3636,3864,4161,4421,4643,4818,4977,5258
"0128 Salem","svensk bakgrund",11407,11518,11549,11691,11947,12169,12198,12223,12197,12351,12416,12365,12276,12265,12194,12022,11968,11773,11701
"0136 Haninge","utländsk bakgrund",17323,17631,17882,18278,19145,19972,20958,21877,22585,23610,24517,25456,26617,27678,29248,31107,32596,34346,35509
"0136 Haninge","svensk bakgrund",53579,53746,53473,53559,53811,53726,54010,54360,54469,54716,54913,55476,55790,56188,56445,56930,57393,57749,58181
"0138 Tyresö","utländsk bakgrund",7108,7202,7315,7473,7520,7709,7890,8063,8272,8421,8626,8826,9165,9576,10033,10283,10811,11103,11265
"0138 Tyresö","svensk bakgrund",32612,32895,33290,33661,33956,34338,34442,34539,34675,34907,35138,35455,36225,36601,37070,37021,37193,37230,37413
"0139 Upplands-Bro","utländsk bakgrund",5002,5112,5183,5207,5441,5735,6078,6403,6708,6965,7185,7452,7873,8331,8991,9646,10676,11436,12239
"0139 Upplands-Bro","svensk bakgrund",16160,16140,16165,16120,16197,16486,16604,16799,16968,17019,17168,17251,17414,17458,17764,17968,18080,17910,17956
"0140 Nykvarn","utländsk bakgrund",1243,1246,1265,1241,1292,1357,1382,1402,1410,1425,1446,1491,1574,1629,1724,1821,1915,1969,2066
"0140 Nykvarn","svensk bakgrund",6961,7023,7063,7113,7317,7569,7653,7825,7921,7906,7996,8032,8241,8563,8700,8839,9008,9045,9156
"0160 Täby","utländsk bakgrund",9760,9956,10032,10146,10362,10567,10868,11290,11601,12039,12419,12819,13377,13966,14681,15429,16249,16726,17245
"0160 Täby","svensk bakgrund",50438,50212,50390,50448,50644,51066,51398,51724,52188,52519,52945,53473,53957,54315,54705,54976,55148,55148,55510
"0162 Danderyd","utländsk bakgrund",4512,4598,4701,4826,4782,4956,4972,5125,5218,5426,5484,5718,5825,5960,6190,6402,6733,6727,6723
"0162 Danderyd","svensk bakgrund",25243,25286,25399,25400,25710,25833,25879,26025,26112,26373,26476,26504,26470,26461,26463,26486,26454,26130,25989
"0163 Sollentuna","utländsk bakgrund",12443,12784,13060,13269,13914,14473,14926,15834,16760,17643,18398,19287,20320,21096,22123,23284,24269,25650,25988
"0163 Sollentuna","svensk bakgrund",46072,46100,45837,46086,46614,46914,47171,47513,47870,48248,48461,48858,49005,49155,48900,48564,48259,48207,48002
"0180 Stockholm","utländsk bakgrund",189938,193702,197374,202393,211123,219224,227388,238417,247541,257710,267231,275618,283764,291026,299925,311401,320902,329644,331339
"0180 Stockholm","svensk bakgrund",568210,568019,567670,568645,571762,575939,582732,591000,599532,606614,614004,622082,628225,632490,635694,638360,641252,644429,644212
"0181 Södertälje","utländsk bakgrund",27724,28457,29063,29667,31302,33450,35048,36429,37933,39745,41742,43790,45712,47362,49100,50911,52883,54999,56711
"0181 Södertälje","svensk bakgrund",51889,51592,51342,50886,50489,50192,49705,48841,48313,47940,47731,47282,46523,45840,45531,45121,44498,43980,43400
"0182 Nacka","utländsk bakgrund",16281,16412,16727,17104,17801,18438,18922,19716,20433,21065,21655,22172,22838,23627,24457,25681,26860,27258,27482
"0182 Nacka","svensk bakgrund",60343,61058,61988,63143,64620,65865,66739,68369,69675,70551,71218,72251,73379,74359,74902,75550,76796,77931,79023
"0183 Sundbyberg","utländsk bakgrund",8531,8836,9199,9602,10267,10972,11702,12675,13302,13932,14766,15911,16724,17945,19154,20229,21120,22492,22909
"0183 Sundbyberg","svensk bakgrund",25266,24902,24617,24414,24262,24106,24377,25047,25331,25607,26027,26715,27366,28165,28596,29195,29444,29922,29892
"0184 Solna","utländsk bakgrund",14986,15183,15782,16627,17178,18213,19469,20715,21672,22924,23847,24802,25929,27354,28902,30601,31980,33262,34268
"0184 Solna","svensk bakgrund",42599,42811,43316,43948,44539,45105,45820,46194,46472,47022,47446,47938,48112,48804,49227,49106,48970,49167,48894
"0186 Lidingö","utländsk bakgrund",6422,6513,6586,6719,6894,7113,7327,7601,7860,8053,8224,8604,8827,9284,9814,10065,10470,10720,10619
"0186 Lidingö","svensk bakgrund",34770,34681,34821,35173,35427,35597,35784,35844,36157,36028,36210,36574,36638,37018,37039,37120,37348,37403,37386
"0187 Vaxholm","utländsk bakgrund",1044,1057,1077,1078,1124,1133,1190,1227,1260,1337,1374,1399,1436,1454,1512,1599,1669,1665,1618
"0187 Vaxholm","svensk bakgrund",8587,8668,8827,9045,9316,9467,9557,9774,9705,9804,9752,9789,9893,9926,10109,10232,10354,10338,10268
"0188 Norrtälje","utländsk bakgrund",5606,5691,5835,5887,6042,6253,6432,6604,6779,6910,7124,7309,7654,8169,8625,9341,9845,10286,10712
"0188 Norrtälje","svensk bakgrund",48096,48330,48531,48709,48794,48972,49096,49323,49301,49335,49510,49536,49914,50500,50795,51467,51924,52336,52961
"0191 Sigtuna","utländsk bakgrund",9426,9628,9775,9920,10206,10735,11325,12066,12736,13834,14799,15814,16729,17745,19124,20291,21591,22640,23603
"0191 Sigtuna","svensk bakgrund",26345,26400,26547,26791,26770,27058,27047,27153,27254,27495,27473,27558,27356,27041,27150,26855,26539,26324,25934
